goal,reweight
AFF1,0.0001
AFF2,0.513
AFF3,0.00013
AFF4,0.759
AFF5,0.9
AFF6,0.00016
AFF7,0.00017
AFF8,0.00018
AFF9,0.00019
AFF10,0.256
RA11,0.106
RA1,0.00021
RA2,0.00022
RA3,0.00023
RA4,0.00024
RA5,0.00025
RA6,0.00026
RA7,0.00027
RA8,0.00028
RA9,0.00029
RA10,0.0003
